Name of President ,latitude,longitude,residence.site
George Washington,38.708,-77.0861,"George Washington's residence in Mount Vernon, Mount Vernon, VA"
John Adams,42.263056,-71.011667,"John Adams' and John Quincy Adams' residence in Peacefield, Quincy, MA"
Thomas Jefferson,38.010281,-78.4523,"Thomas Jefferson's residence in Monticello, Charlottesville, VA"
James Madison,38.219722,-78.169444,"James Madison's residence in Montpelier, Orange, VA"
James Monroe,37.982222,-78.455278,"James Monroe's residence in Ash Lawn-Highland, Charlottesville, VA"
,38.997458,-77.620403,"James Monroe's residence in Oak Hill, Leesburg, VA"
John Quincy Adams,,,"John Quincy Adams' residence in Peacefield, Quincy, MA"
Andrew Jackson,36.214972,-86.612972,"Andrew Jackson's residence in The Hermitage, Nashville, TN"
Martin Van Buren,42.369706,-73.704206,"Martin Van Buren's residence in Lindenwald, Kinderhook, NY"
William Henry Harrison,37.321667,-77.181667,"William Henry Harrison's residence in Berkeley Plantation, Charles City County, VA"
,38.685489,-87.526006,"William Henry Harrison's residence in Grouseland, Vincennes, IN"
John Tyler,37.334167,-77.020278,"John Tyler's residence in Sherwood Forest Plantation, Charles City County, VA"
James K. Polk,35.614919,-87.037322,"James K. Polk's residence in James K. Polk Home, Columbia, TN"
,36.163044,-86.783322,"James K. Polk's residence in Polk Place, Nashville, TN"
Zachary Taylor,38.279167,-85.647222,"Zachary Taylor's residence in Springfield Plantation, Louisville, KY"
Millard Fillmore,42.768297,-78.622506,"Millard Fillmore's residence in Fillmore House, East Aurora, NY"
Franklin Pierce,43.116389,-71.950556,"Franklin Pierce's residence in Franklin Pierce Homestead, Hillsborough, NH"
,43.217165798,-71.538997844,"Franklin Pierce's residence in Pierce Manse, Concord, NH"
James Buchanan,40.043139,-76.330694,"James Buchanan's residence in Wheatland, Lancaster, PA"
Abraham Lincoln,39.797222,-89.645,"Abraham Lincoln's residence in Lincoln Home, Springfield, IL"
Andrew Johnson,36.158333,-82.835,"Andrew Johnson's residence in Andrew Johnson Home, Greeneville, TN"
Ulysses S. Grant,42.418056,-90.431389,"Ulysses S. Grant's residence in Ulysses S. Grant Home, Galena, IL"
,38.548056,-90.3575,"Ulysses S. Grant's residence in Grant's Farm, St. Louis, MO"
Rutherford B. Hayes,41.341389,-83.13,"Rutherford B. Hayes' residence in Spiegel Grove, Fremont, OH"
James A. Garfield,41.66396,-81.350907,"James A. Garfield's residence in Lawnfield, Mentor, OH"
Chester A. Arthur,40.742778,-73.981944,"Chester A. Arthur's residence in Chester A. Arthur Home, New York, NY"
Grover Cleveland,40.351286,-74.6677,"Grover Cleveland's residence in Westland Mansion, Princeton, NJ"
Benjamin Harrison,39.784206,-86.154388,"Benjamin Harrison's residence in Benjamin Harrison Home, Indianapolis, IN"
William McKinley,40.796667,-81.375278,"William McKinley's residence in William McKinley Home, Canton, OH"
Theodore Roosevelt,40.885556,-73.4975,"Theodore Roosevelt's residence in Sagamore Hill, Cove Neck, NY"
William Howard Taft,39.119722,-84.508611,"William Howard Taft's residence in Taft House, Cincinnati, OH"
Woodrow Wilson,38.91395,-77.0517,"Woodrow Wilson's residence in Woodrow Wilson House, Washington, D.C."
,33.47167,-81.96505,"Woodrow Wilson's residence in Woodrow Wilson Boyhood Home, Augusta, GA"
Warren G. Harding,40.586492,-83.121819,"Warren G. Harding's residence in Warren G. Harding House, Marion, OH"
Calvin Coolidge,42.324722,-72.646944,"Calvin Coolidge's residence in Calvin Coolidge House, Northampton, MA"
,43.5356254,-72.7220429,"Calvin Coolidge's residence in Coolidge Homestead, Plymouth Notch, VT"
Herbert Hoover,41.668889,-91.348056,"Herbert Hoover's residence in Herbert Hoover National Historic Site, West Branch, IA"
,38.913611,-77.050556,"Herbert Hoover's residence in Forest Hills, Washington D.C."
,37.417711,-122.168878,"Herbert Hoover's residence in Lou Henry and Herbert Hoover House, Stanford, CA"
,40.756389,-73.974167,"Herbert Hoover's residence in Waldorf Astoria New York, Manhattan, NY"
Franklin D. Roosevelt,41.767222,-73.935556,"Franklin D. Roosevelt's residence in Springwood, Hyde Park, NY"
,32.881389,-84.687639,"Franklin D. Roosevelt's residence in Little White House, Warm Springs, GA"
Harry S. Truman,39.09392,-94.42383,"Harry S. Truman's residence in Truman Home, Independence, MO"
Dwight D. Eisenhower,39.793333,-77.263333,"Dwight D. Eisenhower's residence in Eisenhower Farm, Gettysburg, PA"
John F. Kennedy,41.62998,-70.30236,"John F. Kennedy's residence in Kennedy Compound, Hyannis Port, MA"
,38.965,-77.797222,"John F. Kennedy's residence in Wexford, Marshall, VA"
Lyndon B. Johnson,30.240833,-98.624167,"Lyndon B. Johnson's residence in LBJ Ranch, Stonewall, TX"
Richard M. Nixon,33.390989,-117.597081,"Richard M. Nixon's residence in La Casa Pacifica, San Clemente, CA"
Gerald R. Ford,38.813056,-77.079722,"Gerald R. Ford's residence in Gerald R. Ford Jr. House, Alexandria, VA"
James Carter,32.030439,-84.418247,"James Carter's residence in Jimmy Carter House, Plains, GA"
Ronald Reagan,34.530478,-120.075932,"Ronald Reagan's residence in Rancho del Cielo, Santa Barbara, CA"
George H. W. Bush,43.343282,-70.459099,"George H. W. Bush's residence in Walker's Point, Kennebunkport, ME"
William J. Clinton,33.667172,-93.596489,"William J. Clinton's residence in Bill Clinton Birthplace, Hope, AR"
,41.1675904718523,-73.756282273275,"William J. Clinton's residence in Clinton Residence,  Chappaqua, NY"
George W. Bush,32.884292,-96.812059,"George W. Bush's residence in Preston Hollow, Dallas, TX"
Barack Obama,41.802751,-87.599487,"Barack Obama's residence in Hyde Park, Chicago, Illinois"
Donald J. Trump,40.7625,-73.9738,"Donald J. Trump's residence in Trump Tower, New York City, NY"
,26.676944,-80.036944,"Donald J. Trump's residence in Mar-a-Lago, Palm Beach, FL"
Joseph R. Biden Jr.,39.7705577531982,-75.6100055481803,"Joseph R. Biden Jr.'s residence in Joe Biden Residence, Wilmington, DE"
White House,38.897957,-77.03656,White House
